antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({5952}),frozenset({7153}),0.21252059308072488,0.24052718286655683,0.15321252059308071,0.7209302325581395,2.997292131251991,0.10209554103824409,2.7214442613948373
frozenset({1210}),frozenset({260}),0.2355848434925865,0.31960461285008235,0.16639209225700163,0.7062937062937062,2.209898349073607,0.09109808955920629,2.316584294343767
frozenset({364}),frozenset({356}),0.22405271828665568,0.40691927512355847,0.15650741350906094,0.6985294117647058,1.716628959276018,0.06533604379439216,1.9672921605657572
frozenset({7153}),frozenset({4993}),0.24052718286655683,0.24382207578253706,0.16639209225700163,0.6917808219178082,2.8372362088115515,0.10774625524835187,2.4533772652388794
frozenset({4993}),frozenset({7153}),0.24382207578253706,0.24052718286655683,0.16639209225700163,0.6824324324324323,2.837236208811551,0.10774625524835187,2.391531424164884
frozenset({1196}),frozenset({260}),0.2685337726523888,0.31960461285008235,0.1828665568369028,0.6809815950920245,2.130700145468345,0.09704192439116405,2.1327778481814725
frozenset({47}),frozenset({296}),0.22075782537067545,0.38385502471169686,0.14991762767710048,0.6791044776119403,1.7691691755813208,0.0651786271641394,1.9200796904333166
frozenset({1210}),frozenset({1196}),0.2355848434925865,0.2685337726523888,0.15980230642504117,0.6783216783216783,2.5260199922776607,0.09653981962225436,2.273905880667574
frozenset({50}),frozenset({296}),0.2471169686985173,0.38385502471169686,0.16639209225700163,0.6733333333333333,1.754134477825465,0.07153500213055267,1.8861580876172546
frozenset({2028}),frozenset({2571}),0.2471169686985173,0.33278418451400327,0.1614497528830313,0.6533333333333333,1.9632343234323433,0.07921313397512274,1.924661006209606
